Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Conventional,106,0.4038,0.006938956117457438,0.3901996460097834,0.4174003539902166,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,107,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,107,0.404,0.006939510069161943,0.39039856026444264,0.4176014397355574,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,108,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,108,0.4044,0.006940614382026997,0.39079639581122705,0.4180036041887729,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,109,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,109,0.4046,0.006941164743758788,0.3909953171022328,0.41820468289776724,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,111,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,111,0.4054,0.006943354232645775,0.39179102570401425,0.4190089742959857,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,112,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,112,0.406,0.006944983801277006,0.3923878317494971,0.41961216825050296,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,113,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,113,0.4062,0.006945524602216884,0.3925867717796549,0.4198132282203451,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,114,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,114,0.4066,0.006946602622865367,0.3929846588591839,0.42021534114081616,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,115,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,115,0.407,0.00694767587039004,0.3933825552940355,0.42061744470596446,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,116,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,116,0.408,0.006950338121271511,0.39437733728230784,0.4216226627176921,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,117,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,117,0.4084,0.006951394680206268,0.3947752664267957,0.42202473357320425,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,119,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,119,0.4092,0.006953493510459329,0.3955711527194997,0.4228288472805003,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,120,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,120,0.4102,0.006956090281185258,0.3965660630488769,0.4238339369511231,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,121,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,121,0.4108,0.006957634080634019,0.39716303720195734,0.42443696279804266,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,122,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,122,0.4116,0.006959675854520813,0.3979590353251392,0.42524096467486083,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,123,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,123,0.4122,0.006961194725045407,0.398556058338911,0.425843941661089,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,125,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,125,0.4128,0.006962702923434261,0.39915310227006884,0.42644689772993116,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,126,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,126,0.4132,0.006963702463488802,0.399551143171562,0.42684885682843804,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,127,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,127,0.4136,0.006964697265495466,0.3999491933596289,0.42725080664037113,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,128,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,128,0.4142,0.006966180589103328,0.40054628604535747,0.42785371395464256,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,130,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,130,0.4152,0.006968629133480989,0.40154148689837726,0.42885851310162276,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,131,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,131,0.4156,0.006969600275482089,0.40193958346005515,0.4292604165399449,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,132,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,132,0.4166,0.006972007458401059,0.40293486538153395,0.4302651346184661,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,134,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,134,0.4174,0.006973911958148023,0.40373113256202986,0.4310688674379701,0.995,303.8730841675049,2500,5000
