responseid,resp_order,contest,winner,orig_1ys,orig_3ys,orig_8ys,orig_FM_sp,orig_MD_sp,orig_law,orig_may,orig_leg,orig_1ch,orig_3ch,orig_45,orig_65,orig_cand_female
54usa voter,51,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0
54usa voter,51,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1
54usa voter,51,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54usa voter,51,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0
55usa voter,52,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
55usa voter,52,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0
55usa voter,52,2,1,1,0,0,0,1,0,0,1,0,1,1,0,1
55usa voter,52,2,0,0,0,0,0,1,0,1,0,0,1,0,1,1
55usa voter,52,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0
55usa voter,52,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0
56usa voter,53,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
56usa voter,53,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0
56usa voter,53,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1
56usa voter,53,2,0,0,0,1,1,0,0,1,0,0,1,0,1,1
56usa voter,53,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0
56usa voter,53,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0
57usa voter,54,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
57usa voter,54,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
57usa voter,54,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1
57usa voter,54,2,1,1,0,0,0,1,0,1,0,0,0,0,1,1
57usa voter,54,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1
57usa voter,54,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0
59usa voter,55,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0
59usa voter,55,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
59usa voter,55,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0
59usa voter,55,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1
59usa voter,55,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1
59usa voter,55,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1
60usa voter,56,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
60usa voter,56,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
60usa voter,56,2,1,0,1,0,0,0,0,0,1,1,0,1,0,0
60usa voter,56,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0
60usa voter,56,3,0,1,0,0,0,1,1,0,0,1,0,1,0,1
60usa voter,56,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1
62usa voter,57,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
62usa voter,57,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
62usa voter,57,2,1,1,0,0,0,1,0,0,1,0,1,0,1,1
62usa voter,57,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62usa voter,57,3,1,0,0,0,0,0,0,1,0,1,0,0,1,1
62usa voter,57,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0
